meal_name,type,protein,carbs,fat,calories,ingredients
Chicken Omelette,breakfast,25,5,10,230,"eggs,chicken,cheese"
Greek Yogurt Bowl,breakfast,20,25,5,230,"yogurt,berries,granola"
Protein Pancakes,breakfast,30,35,8,320,"oats,egg_whites,banana"
Smoked Salmon Toast,breakfast,28,30,12,350,"smoked_salmon,bread,avocado"
Salmon Rice Bowl,lunch,35,45,15,520,"salmon,rice,veggies"
Chicken Shawarma Wrap,lunch,40,55,12,540,"chicken,wrap,yogurt,lettuce"
Turkey Quinoa Salad,lunch,38,40,10,450,"turkey,quinoa,spinach"
Lentil Curry,lunch,24,55,9,430,"lentils,curry_tomato,spinach"
Tofu Stir-Fry,dinner,30,35,10,420,"tofu,broccoli,soy_sauce"
Chicken Veggie Pasta,dinner,42,60,12,610,"chicken,pasta,veggies"
Beef Chili,dinner,45,40,15,600,"beef,beans,tomato"
Baked Cod & Potatoes,dinner,36,45,8,480,"cod,potato,olive_oil"
Protein Shake,snack,40,20,5,300,"whey_milk,banana"
Greek Yogurt & Berries,snack,20,22,4,180,"yogurt,berries"
Hummus & Pita,snack,10,30,8,260,"hummus,pita"
Cottage Cheese Bowl,snack,24,12,5,200,"cottage_cheese,fruit"
